dedup_wf_001::680d4358139befdb9b30234bb1af992d,"View of the Puxi in the evening. Centre, Jiushi Building, background, Indigo Hotel."
doi_________::10991c9dc090d10b8e634a92d62b0f65,"Belgium Herbarium image of <a href=\""https://www.plantentuinmeise.be\"">Meise Botanic Garden</a>."
doi_________::3ed2a96e33784f3d333ed6facc39f0de,"Belgium Herbarium image of <a href=\""https://www.plantentuinmeise.be\"">Meise Botanic Garden</a>."
doi_________::6c26d9656e7b5513ddffe3806b884623,Part of a training dataset of scanned herbarium specimens. The data paper and a summary landing page will be published on Zenodo as it gets published.<br><br>Content of this deposition:<br><br>- A JSON-LD datafile listing the label data associated with this herbarium specimen. The Darwin and Dublin Core data standards are used for most values.<br>- A JPEG image file of the scanned herbarium sheet.
doi_________::bea7c711f19309bb3919c9ffa43385f9,"Belgium Herbarium image of <a href=\""https://www.plantentuinmeise.be\"">Meise Botanic Garden</a>."
doi_________::f903b251d9246a1126805a277e1fcbba,"<p>If a grid-connected energy community wants to gain the full benefits of the local market and all its potential revenue streams, the trading mechanisms and information exchange procedures must be designed to be compatible with the external markets. This paper analyses how the arrangements in the retail, wholesale and ancillary service markets affect the local markets and their design.</p>"
doi_dedup___::2731405eba5a7bfb73f6d9656633d430,"In the search for a logic capturing polynomial time the most promising candidates are Choiceless Polynomial Time (CPT) and rank logic. Rank logic extends fixed-point logic with counting by a rank operator over prime fields. We show that the isomorphism problem for CFI graphs over $\\mathbb{Z}_{2^i}$ cannot be defined in rank logic, even if the base graph is totally ordered. However, CPT can define this isomorphism problem. We thereby separate rank logic from CPT and in particular from polynomial time."
doi_dedup___::2cb06837da0a057e4bcec6b811ee4c48,"Olfactory dysfunction, often preceding the cardinal motor symptoms, such as bradykinesia, rigidity, tremor at rest and postural instability, is frequently reported in Parkinson's disease. This symptom appears to be related to an increased number of dopamine neurons in the periglomerular layer of the olfactory bulb. In animal models of Parkinson's disease, adult neural progenitor cells migrating from the subventricular zone of the lateral ventricle to the olfactory bulb are evidently altered in their survival and progeny. The modulation of neural progenitor cells contributing to the number of dopamine neurons in the periglomerular layer, however, is still poorly understood. In this study, we have investigated the survival and neuronal differentiation of newly generated cells in the olfactory bulb, following treatment with the dopamine precursor l-DOPA and the monoamine oxidase-B inhibitor selegiline in a unilateral, intranigral 6-hydroxydopamine lesion model in mice. Our data show that the number of neural progenitor cells in the subventricular zone is decreased after an intranigral 6-hydroxydopamine lesion, while there is no difference from control in lesioned mice with selegiline or l-DOPA treatment. Selegiline is able to normalize the number of dopamine neurons in the periglomerular layer, while l-DOPA treatment sustains the increased number observed in 6-hydroxydopamine lesioned animals. We conclude that there is a distinct modulation of newly generated dopamine neurons of the olfactory bulb after l-DOPA and selegiline treatment. The differential effects of the two drugs might also play a role in olfactory dysfunction in Parkinson's disease patients."
doi_dedup___::38d073bd41662aaa19012828c249c648,"In metazoans, replication-dependent histone mRNAs end in a stem-loop structure instead of the poly(A) tail characteristic of all other mature mRNAs. This specialized 3' end is bound by stem-loop binding protein (SLBP), a protein that participates in the nuclear export and translation of histone mRNAs. The translational activity of SLBP is mediated by interaction with SLIP1, a middle domain of initiation factor 4G (MIF4G)-like protein that connects to translation initiation. We determined the 2.5 angstrom resolution crystal structure of zebrafish SLIP1 bound to the translation-activation domain of SLBP and identified the determinants of the recognition. We discovered a SLIP1-binding motif (SBM) in two additional proteins: the translation initiation factor eIF3g and the mRNA-export factor DBP5. We confirmed the binding of SLIP1 to DBP5 and eIF3g by pull-down assays and determined the 3.25 angstrom resolution structure of SLIP1 bound to the DBP5 SBM. The SBM-binding and homodimerization residues of SLIP1 are conserved in the MIF4G domain of CBP80/20-dependent translation initiation factor (CTIF). The results suggest how the SLIP1 homodimer or a SLIP1-CTIF heterodimer can function as platforms to bridge SLBP with SBM-containing proteins involved in different steps of mRNA metabolism."
doi_dedup___::3ea2e3de5231a2009bf8935834ec5592,"HI intensity mapping (IM) is an exciting new probe that could revolutionize the future of cosmology. However, the relative faintness of the HI signal when compared to foregrounds of astrophysical or terrestrial origin will make HI IM extremely challenging. The imprint of these foregrounds may result in systematic errors in the recovered cosmological signal. We discuss an IM simulation pipeline developed at Manchester that can introduce systematic errors at the TOD level in order to help assess their impact. We will present results for two potential sources of systematics for HI IM surveys: 1/f noise and the integrated emission from global navigation satellites."
doi_dedup___::52c8c817e5d109f2a3e5d1cfde75fa7b,"The jamming transition is accompanied by a rich phenomenology, such as hysteresis or non-local effects, which is still not well understood. Here we experimentally investigate a model frictionless granular layer flowing down an inclined plane, as a way to disentangle generic collective effects from those arising from frictional interactions. We find that thin frictionless granular layers are devoid of hysteresis, yet the layer stability is increased as it gets thinner. Rheological laws obtained for different layer thicknesses can be collapsed into a unique master curve, supporting that non-local effects are the consequence of the usual finite-size effects associated to the presence of a critical point. This collapse indicates that the so-called isostatic length $l^*$ governs the effect of boundaries on flow, and rules out other propositions made in the past."
